S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
1,New South Wales,10050,Albury,17385,61.92121385,17868,60.69087327,35253,61.29144427
1,New South Wales,10180,Armidale,9227,64.18782609,9656,63.44700703,18883,63.80685274
1,New South Wales,10250,Ballina,13122,57.08443903,13806,56.83352544,26928,56.95551936
1,New South Wales,10300,Balranald,712,61.22098022,590,56.78537055,1302,59.1280654
1,New South Wales,10470,Bathurst,14363,63.44641753,13610,61.93683444,27973,62.70286022
1,New South Wales,10500,Bayside (NSW),66483,72.16999566,63822,70.2367196,130305,71.20997667
1,New South Wales,10550,Bega Valley,9733,53.99722607,10130,55.4946861,19863,54.75068221
1,New South Wales,10600,Bellingen,3540,54.73944642,3813,56.37196925,7353,55.57403069
1,New South Wales,10650,Berrigan,2219,51.0349586,2205,51.33876601,4424,51.18593081
1,New South Wales,10750,Blacktown,143578,67.22540348,140715,66.17989418,284293,66.7038165
1,New South Wales,10800,Bland,1627,58.88526963,1487,55.05368382,3114,56.99121523
1,New South Wales,10850,Blayney,2220,58.08477237,2278,59.60230246,4498,58.84353741
1,New South Wales,10900,Blue Mountains,23049,60.27773419,23888,59.41106248,46937,59.83351605
1,New South Wales,10950,Bogan,746,60.84828711,697,58.37520938,1443,59.62809917
1,New South Wales,11150,Bourke,703,60.2915952,770,64.22018349,1473,62.2832981
1,New South Wales,11200,Brewarrina,440,61.02635229,447,64.7826087,887,62.86321758
1,New South Wales,11250,Broken Hill,5221,60.3026103,5241,58.45416016,10462,59.36223332
1,New South Wales,11300,Burwood,15949,75.7384367,15656,73.02238806,31605,74.36820556
1,New South Wales,11350,Byron,11534,64.29925298,12679,66.07775693,24213,65.21844529
1,New South Wales,11400,Cabonne,3987,56.94087404,4111,59.77028206,8098,58.34293948
1,New South Wales,11450,Camden,43276,65.01802885,44542,65.26204744,87818,65.14156857
1,New South Wales,11500,Campbelltown (NSW),59163,64.80278651,60244,64.44104528,119407,64.61977227
1,New South Wales,11520,Canada Bay,30733,69.0799973,31535,67.24454111,62268,68.13809706
1,New South Wales,11570,Canterbury-Bankstown,127326,66.51239082,122798,65.18044343,250124,65.85173855
1,New South Wales,11600,Carrathool,989,66.64420485,763,59.56284153,1752,63.36347197
1,New South Wales,11650,Central Coast (NSW),103410,60.35368274,107122,59.31647785,210532,59.82144379
1,New South Wales,11700,Central Darling,494,55.13392857,561,65.15679443,1055,60.04553216
1,New South Wales,11720,Cessnock,21815,63.39542588,20797,62.67932489,42612,63.04389638
1,New South Wales,11730,Clarence Valley,15794,56.33873154,15222,55.78071751,31016,56.06348173
1,New South Wales,11750,Cobar,1274,61.33846895,1191,59.52023988,2465,60.4462972
1,New South Wales,11800,Coffs Harbour,23109,58.79554244,24163,58.66941848,47272,58.73100672
1,New South Wales,12000,Coolamon,1296,56.20121422,1263,56.30851538,2559,56.25412179
1,New South Wales,12150,Coonamble,1085,55.52712385,1137,59.62244363,2222,57.54985755
1,New South Wales,12160,Cootamundra-Gundagai,3111,53.88879266,3031,53.63652451,6142,53.7640056
1,New South Wales,12350,Cowra,3681,58.06909607,3537,55.96518987,7218,57.01872186
1,New South Wales,12380,Cumberland,89232,69.87353667,79379,67.48881974,168611,68.73020467
1,New South Wales,12390,Dubbo,17757,62.61062727,17153,60.8327127,34910,61.72424767
1,New South Wales,12700,Dungog,2918,58.94949495,2886,59.9128088,5804,59.42459302
1,New South Wales,12730,Edward River,2359,55.90047393,2479,58.88361045,4838,57.39027284
1,New South Wales,12750,Eurobodalla,10609,52.45228913,11035,53.34525766,21644,52.90379351
1,New South Wales,12850,Fairfield,68424,65.78724713,68898,65.16163202,137322,65.47186543
1,New South Wales,12870,Federation,3467,53.2728949,3501,54.43943399,6968,53.85269341
1,New South Wales,12900,Forbes,2638,56.93934815,2590,55.496036,5228,56.21505376
1,New South Wales,12930,Georges River,53662,68.48923434,53288,66.86072773,106950,67.66803121
1,New South Wales,12950,Gilgandra,1180,54.65493284,1198,55.72093023,2378,55.18681829
1,New South Wales,13010,Glen Innes Severn,2481,55.65275908,2475,54.62370338,4956,55.13405273
1,New South Wales,13310,Goulburn Mulwaree,10449,62.72285251,9644,60.0834839,20093,61.42769795
1,New South Wales,13340,Greater Hume,3320,56.73274094,3287,58.76989094,6607,57.72826562
1,New South Wales,13450,Griffith,8913,64.71357003,8431,63.1110113,17344,63.92451718
1,New South Wales,13550,Gunnedah,3887,58.25839329,3889,58.85290557,7776,58.55421687
1,New South Wales,13660,Gwydir,1297,52.83095723,1329,53.48088531,2626,53.15789474
1,New South Wales,13800,Hawkesbury,22093,64.69589153,21560,63.39871203,43653,64.04865309
1,New South Wales,13850,Hay,877,61.54385965,803,57.15302491,1680,59.3639576
1,New South Wales,13910,Hilltops,5337,55.95512686,5552,57.13697643,10889,56.55154505
1,New South Wales,14000,Hornsby,48246,63.617184,49132,62.80133957,97378,63.20291812
1,New South Wales,14100,Hunters Hill,4352,62.34063888,4172,59.13536499,8524,60.72955258
1,New South Wales,14170,Inner West,67759,73.27753085,69128,72.1165081,136887,72.68657905
1,New South Wales,14220,Inverell,5159,57.50752424,5185,57.05325704,10344,57.2789191
1,New South Wales,14300,Junee,2532,67.95491143,1640,58.6972083,4172,63.98773006
1,New South Wales,14350,Kempsey,9126,57.00187383,8660,56.07718708,17786,56.54786507
1,New South Wales,14400,Kiama,6233,55.3208485,6513,55.50063911,12746,55.41257282
1,New South Wales,14500,Ku-ring-gai,38364,62.3338641,40494,61.88242126,78858,62.10122615
1,New South Wales,14550,Kyogle,2559,54.09004439,2689,56.76588558,5248,55.42881284
1,New South Wales,14600,Lachlan,1747,56.37302356,1724,56.56167979,3471,56.46656906
1,New South Wales,14650,Lake Macquarie,65530,60.63662441,65974,59.34034305,131504,59.97929295
1,New South Wales,14700,Lane Cove,14014,68.66242038,14443,68.32395099,28457,68.49021637
1,New South Wales,14750,Leeton,3460,61.09835776,3436,59.57004161,6896,60.32718047
1,New South Wales,14850,Lismore,13427,61.60304643,13509,61.09628692,26936,61.34784886
1,New South Wales,14870,Lithgow,6275,59.74483481,5917,57.89061736,12192,58.83034163
1,New South Wales,14900,Liverpool,82503,66.67232351,82839,66.84445807,165342,66.75845473
1,New South Wales,14920,Liverpool Plains,2239,57.43971267,2207,58.55664633,4446,57.9887831
1,New South Wales,14950,Lockhart,918,53.81008206,962,56.92307692,1880,55.35924617
1,New South Wales,15050,Maitland,29736,63.09892628,30839,63.15455346,60575,63.12723407
1,New South Wales,15240,Mid-Coast,24761,51.38736121,25754,51.79390234,50515,51.59382692
1,New South Wales,15270,Mid-Western,7765,59.03147332,7516,58.87052557,15281,58.95220092
1,New South Wales,15300,Moree Plains,3999,61.45689258,4017,63.10084826,8016,62.26986716
1,New South Wales,15350,Mosman,8484,62.95636687,9746,62.49438923,18230,62.70854116
1,New South Wales,15520,Murray River,3535,52.99850075,3597,54.04146635,7132,53.51943569
1,New South Wales,15560,Murrumbidgee,1121,59.28080381,1062,61.88811189,2183,60.52120876
1,New South Wales,15650,Muswellbrook,5562,63.93838372,5125,63.43606882,10687,63.69650733
1,New South Wales,15700,Nambucca Valley,5369,52.6889107,5783,54.63907785,11152,53.68248773
1,New South Wales,15750,Narrabri,3910,59.57641323,3690,59.60264901,7600,59.5891485
1,New South Wales,15800,Narrandera,1562,54.80701754,1611,56.68543279,3173,55.74490513
1,New South Wales,15850,Narromine,1850,56.67892157,1814,57.06196917,3664,56.86791867
1,New South Wales,15900,Newcastle,59352,68.43149011,58519,66.83150225,117871,67.62768655
1,New South Wales,15950,North Sydney,24222,70.98229985,26916,71.03721298,51138,71.01119227
1,New South Wales,15990,Northern Beaches,85251,64.67228038,86882,63.8364156,172133,64.24767002
1,New South Wales,16100,Oberon,1740,59.26430518,1486,55.78078078,3226,57.60714286
1,New South Wales,16150,Orange,13129,60.61403509,13857,61.3575983,26986,60.99358105
1,New South Wales,16200,Parkes,4286,59.6354529,4105,58.07044844,8391,58.85942761
1,New South Wales,16260,Parramatta,96057,70.74771311,92509,69.36215519,188566,70.06111947
1,New South Wales,16350,Penrith,74042,66.21356966,73942,65.63287769,147984,65.9221411
1,New South Wales,16380,Port Macquarie-Hastings,23867,54.8099667,25387,55.12801025,49254,54.97343631
1,New South Wales,16400,Port Stephens,22094,57.2012945,22211,56.77223117,44305,56.98538869
1,New South Wales,16490,Queanbeyan-Palerang,22129,66.54337694,21373,66.55352806,43502,66.5483639
1,New South Wales,16550,Randwick,50088,71.77165129,50791,70.49214456,100879,71.12168641
1,New South Wales,16610,Richmond Valley,6662,56.48634899,6797,57.06489799,13459,56.77705126
1,New South Wales,16700,Ryde,47259,70.57901104,47678,69.34275783,94937,69.95269533
1,New South Wales,16900,Shellharbour,24362,62.02138493,25369,62.7045331,49731,62.36800522
1,New South Wales,16950,Shoalhaven,30945,56.34354175,30485,55.45449584,61430,55.8988125
1,New South Wales,17000,Singleton,8587,65.27556062,7742,63.57887821,16329,64.45997158
1,New South Wales,17040,Snowy Monaro,7298,63.67681703,6902,64.67997376,14200,64.1604916
1,New South Wales,17080,Snowy Valleys,4396,58.44190375,4244,57.25077566,8640,57.85068631
1,New South Wales,17100,Strathfield,18743,75.65898357,16748,72.65628389,35491,74.21169287
1,New South Wales,17150,Sutherland,73033,63.17678913,74759,62.59754831,147792,62.8824528
1,New South Wales,17200,Sydney,102579,84.37299511,90969,83.07064324,193548,83.75583116
1,New South Wales,17310,Tamworth,19362,59.92571959,19744,59.94656303,39106,59.9362413
1,New South Wales,17350,Temora,1633,54.96465836,1632,53.36821452,3265,54.1549179
1,New South Wales,17400,Tenterfield,1732,50.37812682,1883,53.26732673,3615,51.84282231
1,New South Wales,17420,The Hills,66570,64.59469425,68115,64.93265079,134685,64.76517006
1,New South Wales,17550,Tweed,27193,56.53665433,28660,56.34079695,55853,56.43598371
1,New South Wales,17620,Upper Hunter,4373,60.4422944,4276,60.19991553,8649,60.32222067
1,New South Wales,17640,Upper Lachlan,2485,55.63017685,2513,59.28284973,4998,57.40868367
1,New South Wales,17650,Uralla,1632,56.10175318,1909,60.8349267,3541,58.55796263
1,New South Wales,17750,Wagga Wagga,21244,62.91535864,21848,62.51216023,43092,62.71028581
1,New South Wales,17850,Walcha,801,53.57859532,775,52.61371351,1576,53.09973046
1,New South Wales,17900,Walgett,1540,55.95930233,1637,59.1615468,3177,57.56477623
1,New South Wales,17950,Warren,732,55.7501904,696,54.80314961,1428,55.28455285
1,New South Wales,18020,Warrumbungle,2558,54.78689227,2474,54.26628647,5032,54.52969224
1,New South Wales,18050,Waverley,25622,73.2601361,26588,72.96377607,52210,73.10891422
1,New South Wales,18100,Weddin,1003,54.33369447,951,53.72881356,1954,54.03761062
1,New South Wales,18200,Wentworth,2386,58.94268775,2113,58.04945055,4499,58.51977107
1,New South Wales,18250,Willoughby,25290,67.08044879,26762,66.61688199,52052,66.84130775
1,New South Wales,18350,Wingecarribee,14493,56.11352021,14920,54.69007734,29413,55.38232691
1,New South Wales,18400,Wollondilly,18224,62.8457135,18045,63.05472081,36269,62.94952791
1,New South Wales,18450,Wollongong,70931,65.04745747,70048,63.62447319,140979,64.33255301
1,New South Wales,18500,Woollahra,16705,65.37904583,19093,65.59139785,35798,65.49213319
1,New South Wales,18710,Yass Valley,5394,62.07134638,5480,62.36485718,10874,62.21891629
1,New South Wales,19399,Unincorporated NSW,284,57.25806452,338,65.37717602,622,61.4017769
2,Victoria,20110,Alpine,3860,58.60027327,3864,58.58984079,7724,58.59505386
2,Victoria,20260,Ararat,3781,61.3002594,3205,58.11423391,6986,59.7962852
2,Victoria,20570,Ballarat,36084,63.09053397,37972,62.307402,74056,62.6865419
2,Victoria,20660,Banyule,40908,64.66032308,41811,63.02912446,82719,63.82540393
2,Victoria,20740,Bass Coast,11356,54.36614324,12097,55.38665812,23453,54.88778113
2,Victoria,20830,Baw Baw,17436,59.00507614,18613,59.86042323,36049,59.44363828
2,Victoria,20910,Bayside (Vic.),31178,62.47345009,33539,61.69113049,64717,62.06555931
2,Victoria,21010,Benalla,3962,55.81854043,4167,56.07589826,8129,55.95016863
2,Victoria,21110,Boroondara,56522,67.44224895,60240,66.39552954,116762,66.89813621
2,Victoria,21180,Brimbank,66297,67.2437926,64132,65.80745788,130429,66.52979403
2,Victoria,21270,Buloke,1759,56.39628086,1619,55.4262239,3378,55.92715232
2,Victoria,21370,Campaspe,10910,57.70044426,11235,57.93925017,22145,57.82135304
2,Victoria,21450,Cardinia,40949,65.034543,41444,64.76130948,82393,64.8968179
2,Victoria,21610,Casey,131863,67.04614211,129795,66.41338552,261658,66.73076433
2,Victoria,21670,Central Goldfields,3688,54.4193596,3732,54.90657643,7420,54.66332695
2,Victoria,21750,Colac Otway,6580,58.79724779,6447,58.1754196,13027,58.48785525
2,Victoria,21830,Corangamite,4726,58.62796179,4579,58.05756308,9305,58.34587409
2,Victoria,21890,Darebin,54827,72.18543046,56524,70.89426816,111351,71.52418697
2,Victoria,22110,East Gippsland,12797,52.83868037,13533,54.21875,26330,53.53911222
2,Victoria,22170,Frankston,46019,65.50374356,46669,64.30717081,92688,64.89574727
2,Victoria,22250,Gannawarra,2771,53.37057011,2796,53.48125478,5567,53.42610365
2,Victoria,22310,Glen Eira,51880,68.07148293,53850,66.79235454,105730,67.41393931
2,Victoria,22410,Glenelg,5794,57.98638911,5767,57.49750748,11561,57.74148437
2,Victoria,22490,Golden Plains,8266,61.87588891,7884,63.27955695,16150,62.55325742
2,Victoria,22620,Greater Bendigo,37030,61.25622405,39252,61.59785321,76282,61.43153961
2,Victoria,22670,Greater Dandenong,57077,68.52803458,53215,66.10394773,110292,67.33662206
2,Victoria,22750,Greater Geelong,87601,63.38941351,89782,62.08389229,177383,62.721837
2,Victoria,22830,Greater Shepparton,21248,61.61876867,21166,61.08161145,42414,61.34953352
2,Victoria,22910,Hepburn,4717,57.58759614,4864,57.36525534,9581,57.4745051
2,Victoria,22980,Hindmarsh,1601,57.05630791,1539,55.90265165,3140,56.48497931
2,Victoria,23110,Hobsons Bay,30257,65.87489931,31152,65.16200556,61409,65.51131878
2,Victoria,23190,Horsham,6040,60.19533586,6166,59.97471063,12206,60.08368201
2,Victoria,23270,Hume,88364,67.00028813,86873,66.377084,175237,66.68988141
2,Victoria,23350,Indigo,5005,57.727797,5335,59.33051601,10340,58.54376628
2,Victoria,23430,Kingston (Vic.),52336,65.56752694,53520,63.78718535,105856,64.65515135
2,Victoria,23670,Knox,52140,65.51321196,53037,64.53838572,105177,65.01798895
2,Victoria,23810,Latrobe (Vic.),23313,60.80118927,24264,60.9479792,47577,60.87596284
2,Victoria,23940,Loddon,2162,54.32160804,2082,55.26944518,4244,54.78249645
2,Victoria,24130,Macedon Ranges,15711,60.18387282,16249,60.59668096,31960,60.39304611
2,Victoria,24210,Manningham,39539,62.89209137,40811,61.235483,80350,62.03962506
2,Victoria,24250,Mansfield,2846,55.40198559,3138,58.01442041,5984,56.74189266
2,Victoria,24330,Maribyrnong,34932,75.20506362,33567,74.07807914,68499,74.64854733
2,Victoria,24410,Maroondah,37115,65.06723234,38489,63.73089596,75604,64.37999217
2,Victoria,24600,Melbourne,78411,88.36237012,77741,87.6863904,156152,88.02453268
2,Victoria,24650,Melton,69337,67.16098411,68539,66.6527278,137876,66.90736158
2,Victoria,24700,Merri-bek,65547,73.74194202,66157,71.64811125,131704,72.67510195
2,Victoria,24780,Mildura,17771,62.33688789,17876,61.54375818,35647,61.93661605
2,Victoria,24850,Mitchell,17414,63.97266816,16851,63.58388046,34265,63.78087597
2,Victoria,24900,Moira,8604,55.68211235,8534,55.69405469,17138,55.68805849
2,Victoria,24970,Monash,70966,69.43360044,67650,66.74691425,138616,68.0958931
2,Victoria,25060,Moonee Valley,42054,68.32826945,43287,66.65794053,85341,67.47070822
2,Victoria,25150,Moorabool,12254,63.07066756,12388,63.00157657,24642,63.03591528
2,Victoria,25340,Mornington Peninsula,46793,56.74148447,49044,55.87404302,95837,56.29423824
2,Victoria,25430,Mount Alexander,5964,57.77390294,5676,55.359407,11640,56.57076205
2,Victoria,25490,Moyne,5082,58.29318651,5294,59.53666217,10376,58.92106758
2,Victoria,25620,Murrindindi,4704,58.06690532,4397,59.57187373,9101,58.78439478
2,Victoria,25710,Nillumbik,20061,63.97206544,20504,64.26578906,40565,64.12019474
2,Victoria,25810,Northern Grampians,3496,58.14069516,3402,57.99522673,6898,58.06886102
2,Victoria,25900,Port Phillip,40837,76.03805906,42500,76.15259188,83337,76.09642515
2,Victoria,25990,Pyrenees,2355,57.81978885,2135,57.50067331,4490,57.66760853
2,Victoria,26080,Queenscliffe,658,42.97844546,718,42.06209725,1376,42.49536751
2,Victoria,26170,South Gippsland,8516,55.4535391,8822,57.04125178,17338,56.25020277
2,Victoria,26260,Southern Grampians,4657,57.55778025,4728,56.42678124,9385,56.98239223
2,Victoria,26350,Stonnington,39348,73.71576305,41986,72.44336318,81334,73.0533974
2,Victoria,26430,Strathbogie,3097,53.67417678,3179,54.73484848,6276,54.20625324
2,Victoria,26490,Surf Coast,11695,59.8056763,11985,60.72351421,23680,60.26672096
2,Victoria,26610,Swan Hill,6707,62.5944937,6352,60.51252739,13059,61.56420894
2,Victoria,26670,Towong,1727,54.0701315,1701,55.78878321,3428,54.90949864
2,Victoria,26700,Wangaratta,8424,57.96064401,9008,58.23635893,17432,58.10279315
2,Victoria,26730,Warrnambool,10768,61.7714548,11296,61.1420839,22064,61.4476286
2,Victoria,26810,Wellington,13949,59.68763372,13390,58.84679617,27339,59.27282976
2,Victoria,26890,West Wimmera,1117,55.79420579,1037,53.70274469,2154,54.76735317
2,Victoria,26980,Whitehorse,59572,68.22184812,60104,65.81834907,119676,66.99320977
2,Victoria,27070,Whittlesea,81598,66.71408716,81100,66.08593616,162698,66.39948741
2,Victoria,27170,Wodonga,13607,62.88764616,13917,61.47356332,27524,62.16460385
2,Victoria,27260,Wyndham,111102,67.47645047,106317,66.68401972,217419,67.08661563
2,Victoria,27350,Yarra,38076,79.42759398,38540,77.84286003,76616,78.62244479
2,Victoria,27450,Yarra Ranges,49741,63.2418756,50580,63.19182429,100321,63.21663075
2,Victoria,27630,Yarriambiack,1778,54.47303922,1734,55.488,3512,54.96947879
2,Victoria,29399,Unincorporated Vic,400,80.64516129,360,78.77461707,760,79.74816369
3,Queensland,30250,Aurukun,379,71.50943396,430,68.91025641,809,70.10398614
3,Queensland,30300,Balonne,1390,62.75395034,1334,62.62910798,2724,62.69275029
3,Queensland,30370,Banana,4762,61.94068678,4540,62.78523026,9302,62.35002346
3,Queensland,30410,Barcaldine,873,60.37344398,901,62.22375691,1774,61.29923981
3,Queensland,30450,Barcoo,107,66.875,119,75.79617834,226,71.29337539
3,Queensland,30760,Blackall Tambo,542,54.8582996,535,55.44041451,1077,55.14592934
3,Queensland,30900,Boulia,148,64.34782609,145,58.46774194,293,61.29707113
3,Queensland,31000,Brisbane,463369,70.56430858,462515,69.39459865,925884,69.97510509
3,Queensland,31750,Bulloo,134,69.07216495,87,57.23684211,221,63.87283237
3,Queensland,31820,Bundaberg,29318,57.15009747,30655,57.98622933,59973,57.57444848
3,Queensland,31900,Burdekin,5178,59.51724138,4892,58.79807692,10070,59.16568743
3,Queensland,31950,Burke,190,73.07692308,121,67.97752809,311,71.00456621
3,Queensland,32080,Cairns,56530,65.09373129,58474,66.03202566,115004,65.56745231
3,Queensland,32250,Carpentaria,751,64.51890034,699,66.69847328,1450,65.55153707
3,Queensland,32260,Cassowary Coast,8906,58.03088552,8721,59.63076923,17627,58.81155745
3,Queensland,32270,Central Highlands (Qld),10174,67.22611339,9115,65.86458559,19289,66.57577745
3,Queensland,32310,Charters Towers,3447,57.26864928,3632,60.59392726,7079,58.92782819
3,Queensland,32330,Cherbourg,333,52.68987342,392,62.02531646,725,57.35759494
3,Queensland,32450,Cloncurry,1564,71.155596,1122,67.87658802,2686,69.74811737
3,Queensland,32500,Cook,1590,62.82101936,1465,65.69506726,3055,64.16719177
3,Queensland,32600,Croydon,86,62.77372263,97,72.93233083,183,67.77777778
3,Queensland,32750,Diamantina,118,73.75,84,75,202,74.26470588
3,Queensland,32770,Doomadgee,469,62.61682243,456,64.04494382,925,63.31279945
3,Queensland,32810,Douglas,4130,63.29501916,4123,65.41329526,8253,64.33582788
3,Queensland,33100,Etheridge,225,59.84042553,207,59.14285714,432,59.50413223
3,Queensland,33200,Flinders (Qld),435,57.31225296,488,62.1656051,923,59.77979275
3,Queensland,33220,Fraser Coast,31463,54.42013318,33190,55.2016632,64653,54.81855181
3,Queensland,33360,Gladstone,21499,63.49192286,21360,64.77831018,42859,64.12658038
3,Queensland,33430,Gold Coast,212678,65.37320682,222486,65.29149719,435164,65.33140566
3,Queensland,33610,Goondiwindi,3035,57.88670608,3103,59.56997504,6138,58.72560276
3,Queensland,33620,Gympie,15806,56.76626921,16629,58.71407386,32435,57.74845992
3,Queensland,33800,Hinchinbrook,3168,56.01131542,3033,55.52911022,6201,55.77441986
3,Queensland,33830,Hope Vale,323,60.94339623,326,65.72580645,649,63.25536062
3,Queensland,33960,Ipswich,81774,65.37317728,83058,65.88767254,164832,65.63142052
3,Queensland,33980,Isaac,9405,72.50231267,7079,70.42379626,16484,71.59485754
3,Queensland,34420,Kowanyama,371,64.86013986,406,70.60869565,777,67.74193548
3,Queensland,34530,Livingstone,13061,60.65010448,12438,61.0573855,25499,60.84808858
3,Queensland,34570,Lockhart River,206,58.1920904,213,66.77115987,419,62.25854383
3,Queensland,34580,Lockyer Valley,13687,62.62067072,14347,65.24329241,28034,63.93595913
3,Queensland,34590,Logan,121314,64.73705275,122847,64.52793915,244161,64.63167034
3,Queensland,34710,Longreach,1125,60.74514039,1235,65.51724138,2360,63.15226117
3,Queensland,34770,Mackay,41247,64.45750184,40502,64.37472185,81749,64.41646245
3,Queensland,34800,McKinlay,320,69.86899563,264,67.51918159,584,68.78680801
3,Queensland,34830,Mapoon,138,62.16216216,142,58.43621399,280,60.21505376
3,Queensland,34860,Maranoa,4115,61.74043511,4172,63.30804249,8287,62.51980385
3,Queensland,34880,Mareeba,7901,63.11206965,6859,61.33416793,14760,62.27322589
3,Queensland,35010,Moreton Bay,157855,62.92879723,163094,62.90823391,320949,62.91834606
3,Queensland,35250,Mornington,346,68.24457594,395,69.05594406,741,68.6746988
3,Queensland,35300,Mount Isa,6573,67.27737973,6357,69.28610354,12930,68.25019794
3,Queensland,35600,Murweh,1144,60.24223275,1301,62.94146105,2445,61.64901664
3,Queensland,35670,Napranum,308,67.10239651,300,64.51612903,608,65.8008658
3,Queensland,35740,Noosa,16080,56.66560947,17433,58.12937646,33513,57.41771892
3,Queensland,35760,North Burnett,3036,57.20746184,2942,58.31516353,5978,57.74729521
3,Queensland,35780,Northern Peninsula Area,856,59.1568763,915,62.62833676,1771,60.90096286
3,Queensland,35790,Palm Island,697,64.89757914,697,61.14035088,1394,62.96296296
3,Queensland,35800,Paroo,529,59.3714927,492,58.99280576,1021,59.1884058
3,Queensland,36070,Pormpuraaw,222,68.51851852,230,71.875,452,70.1863354
3,Queensland,36150,Quilpie,188,55.45722714,220,59.45945946,408,57.54583921
3,Queensland,36250,Redland,50281,61.34672165,51577,60.78824237,101858,61.06265249
3,Queensland,36300,Richmond,259,64.10891089,237,62.86472149,496,63.50832266
3,Queensland,36370,Rockhampton,26345,63.19867581,26892,62.78629964,53237,62.98969438
3,Queensland,36510,Scenic Rim,13316,59.03790734,13665,60.21680694,26981,59.62915488
3,Queensland,36580,Somerset,7928,59.22163293,7823,60.81312189,15751,60.00152375
3,Queensland,36630,South Burnett,9607,56.02402613,9838,57.39120289,19445,56.7074949
3,Queensland,36660,Southern Downs,10334,55.94413166,10739,56.60446974,21073,56.27870954
3,Queensland,36720,Sunshine Coast,107506,60.82066543,115985,61.3083628,223491,61.07279296
3,Queensland,36820,Tablelands,7456,55.43494424,7900,57.20906655,15356,56.33368796
3,Queensland,36910,Toowoomba,54065,61.15881042,56708,60.7022051,110773,60.92420567
